SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,HallwayType,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,SubwayStation,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total)
5.1510387162492,2006,2007,8,814,3,terraced,individual_heating,management_in_trust,111,184,7.5,12.5,3,3,0,Kyungbuk_uni_hospital,2,1,1,1,1,0,3,2,2,2,5,6,9
4.71034588102443,1985,2007,8,587,8,corridor,individual_heating,self_management,80,76,2.5,7.5,1,2,2,Daegu,5,1,2,1,2,1,2,1,1,0,3,12,4
4.6872791923729,1985,2007,8,587,6,corridor,individual_heating,self_management,80,76,2.5,7.5,1,2,2,Daegu,5,1,2,1,2,1,2,1,1,0,3,12,4
5.58038890110886,2006,2007,8,2056,8,terraced,individual_heating,management_in_trust,249,536,2.5,2.5,6,5,11,Sin-nam,1,1,0,1,0,0,2,2,1,2,5,3,7
5.34485972377611,1993,2007,8,1761,3,mixed,individual_heating,management_in_trust,523,536,2.5,17.5,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
4.55436800099009,1992,2007,8,355,5,corridor,individual_heating,management_in_trust,200,0,7.5,12.5,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
4.89386158839602,1992,2007,8,644,2,mixed,individual_heating,self_management,142,79,7.5,17.5,3,4,8,Myung-duk,5,1,1,1,1,0,3,3,4,4,3,9,14
4.79201326819371,1993,2007,8,644,10,mixed,individual_heating,management_in_trust,523,536,2.5,17.5,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
4.92464104741716,1993,2007,8,644,3,mixed,individual_heating,management_in_trust,523,536,2.5,17.5,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
4.92004502094774,1992,2007,8,644,13,mixed,individual_heating,self_management,142,79,7.5,17.5,3,4,8,Myung-duk,5,1,1,1,1,0,3,3,4,4,3,9,14
